Category,app_count,avg_rating,total_installs
GAME,1121,4.281284916201118,31544024415.0
COMMUNICATION,366,4.151465798045603,24152276251.0
SOCIAL,280,4.254918032786885,12513867902.0
PRODUCTIVITY,407,4.201796407185629,12463091369.0
TOOLS,843,4.04741144414169,11452771915.0
FAMILY,1943,4.19115250291036,10041692505.0
PHOTOGRAPHY,322,4.182894736842105,9721247655.0
TRAVEL_AND_LOCAL,237,4.094146341463414,6361887146.0
VIDEO_PLAYERS,175,4.063750000000001,6222002720.0
NEWS_AND_MAGAZINES,264,4.128504672897196,5393217760.0
SHOPPING,224,4.251485148514851,2573348785.0
ENTERTAINMENT,111,4.136036036036036,2455660000.0
PERSONALIZATION,388,4.333870967741936,2074494782.0
BOOKS_AND_REFERENCE,230,4.3474576271186445,1916469576.0
SPORTS,351,4.225174825174825,1528574498.0
HEALTH_AND_FITNESS,306,4.261450381679389,1361022512.0
BUSINESS,427,4.102592592592592,863664865.0
FINANCE,360,4.127444794952682,770348734.0
MAPS_AND_NAVIGATION,137,4.051612903225807,724281890.0
LIFESTYLE,373,4.096065573770492,534823539.0
EDUCATION,130,4.375968992248062,533952000.0
WEATHER,82,4.244,426100520.0
FOOD_AND_DRINK,124,4.164150943396226,257898751.0
DATING,196,3.9716981132075473,206536107.0
HOUSE_AND_HOME,80,4.164705882352941,125212461.0
ART_AND_DESIGN,65,4.358064516129032,124338100.0
LIBRARIES_AND_DEMO,85,4.178461538461539,62995910.0
COMICS,60,4.155172413793103,56086150.0
AUTO_AND_VEHICLES,85,4.190410958904109,53130211.0
MEDICAL,408,4.182450331125827,42204177.0
PARENTING,60,4.3,31521110.0
BEAUTY,53,4.2785714285714285,27197050.0
EVENTS,64,4.435555555555555,15973161.0
1.9,1,,0.0
